Accession ID	Virus name	Location
EPI_ISL_411066	BetaCoV/Fujian/13/2020	Asia / China / Fujian
EPI_ISL_411218	BetaCoV/France/IDF0571/2020	Europe / France / Ile-de-France / Paris
EPI_ISL_411219	BetaCoV/France/IDF0386-islP1/2020	Europe / France / Ile-de-France / Paris
EPI_ISL_411220	BetaCoV/France/IDF0386-islP3/2020	Europe / France / Ile-de-France / Paris
EPI_ISL_411902	BetaCoV/Cambodia/0012/2020	Asia / Cambodia / Sihanoukville
EPI_ISL_411915	BetaCoV/Taiwan/CGMH-CGU-01/2020	Asia / Taiwan / Taoyuan
EPI_ISL_411926	BetaCoV/Taiwan/3/2020	Asia / Taiwan / Taipei
EPI_ISL_411927	BetaCoV/Taiwan/4/2020	Asia / Taiwan / Taipei
EPI_ISL_407193	BetaCoV/South Korea/KCDC03/2020	Asia / South Korea / Gyeonggi-do
EPI_ISL_411950	BetaCoV/Jiangsu/JS01/2020	Asia / China / Jiangsu
EPI_ISL_411953	BetaCoV/Jiangsu/JS03/2020	Asia / China / Jiangsu
EPI_ISL_411952	BetaCoV/Jiangsu/JS02/2020	Asia / China / Jiangsu
EPI_ISL_411929	BetaCoV/South Korea/SNU01/2020	Asia / South Korea
EPI_ISL_411954	BetaCoV/USA/CA7/2020	North America / USA / California
EPI_ISL_411955	BetaCoV/USA/CA8/2020	North America / USA / California
EPI_ISL_411956	BetaCoV/USA/TX1/2020	North America / USA / Texas
EPI_ISL_411951	BetaCoV/Sweden/01/2020	Europe / Sweden
EPI_ISL_411957	BetaCoV/China/WH-09/2020	Asia / China
EPI_ISL_412026	BetaCoV/Hefei/2/2020	Asia / China / Anhui / Hefei
EPI_ISL_412028	BetaCoV/Hong Kong/VM20001061/2020	Asia / Hong Kong
EPI_ISL_412029	BetaCoV/Hong Kong/VM20001988/2020	Asia / Hong Kong
EPI_ISL_412030	BetaCoV/Hong Kong/VB20026565/2020	Asia / Hong Kong
EPI_ISL_408668	BetaCoV/Vietnam/VR03-38142/2020	Asia / Vietnam / Thanh Hoa
EPI_ISL_412459	BetaCoV/Jingzhou/HBCDC-HB-01/2020	Asia / China / Hubei / Jingzhou
EPI_ISL_412116	BetaCoV/England/09c/2020	Europe / England
EPI_ISL_412862	BetaCoV/USA/CA9/2020	North America / USA / California / Solano
EPI_ISL_412869	BetaCoV/Korea/KCDC05/2020	Asia / South Korea /Seoul
EPI_ISL_412870	BetaCoV/Korea/KCDC06/2020	Asia / South Korea/ Seoul
EPI_ISL_412871	BetaCoV/Korea/KCDC07/2020	Asia / South Korea / Seoul
EPI_ISL_412872	BetaCoV/Korea/KCDC12/2020	Asia / South Korea / Gyeonggi-do
EPI_ISL_412873	BetaCoV/Korea/KCDC24/2020	Asia / South Korea / Chungcheongnam-do
EPI_ISL_412898	BetaCoV/Wuhan/HBCDC-HB-02/2019	Asia / China / Hubei / Wuhan
EPI_ISL_412899	BetaCoV/Wuhan/HBCDC-HB-03/2019	Asia / China / Hubei / Wuhan
EPI_ISL_412912	BetaCoV/Germany/Baden-Wuerttemberg-1/2020	Europe / Germany / Baden-Wuerttemberg
EPI_ISL_412964	BetaCoV/Brazil/SPBR-01/2020	South America / Brazil / Sao Paulo / Sao Paulo
